id,recid,sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,charge_severity
141,0,Female,63,Greater than 45,Hispanic,0,0,0,1,Unknown
143,1,Male,31,25 - 45,African-American,0,0,1,15,Middle
145,0,Male,24,Less than 25,African-American,0,0,0,2,Middle
147,0,Male,27,25 - 45,African-American,0,0,0,0,Unknown
149,0,Male,30,25 - 45,Hispanic,0,0,0,0,Unknown
153,1,Male,35,25 - 45,African-American,0,0,0,5,Unknown
154,1,Male,63,Greater than 45,African-American,0,0,0,10,Middle
155,0,Male,33,25 - 45,African-American,0,0,0,2,Unknown
156,1,Male,27,25 - 45,African-American,1,1,2,15,Middle
159,0,Male,38,25 - 45,Caucasian,0,0,0,4,Middle
163,0,Female,34,25 - 45,Caucasian,0,0,0,0,Unknown
165,1,Male,22,Less than 25,African-American,0,1,2,2,Middle
166,1,Male,22,Less than 25,African-American,0,1,2,2,Middle
167,0,Male,29,25 - 45,African-American,0,0,0,4,High
169,0,Male,29,25 - 45,African-American,0,0,0,4,High
171,0,Male,62,Greater than 45,Hispanic,0,0,0,0,Unknown
173,1,Male,27,25 - 45,African-American,0,1,0,6,High
175,0,Male,33,25 - 45,Other,0,0,0,0,Unknown
179,0,Male,22,Less than 25,Hispanic,0,0,0,1,Unknown
180,0,Female,31,25 - 45,Caucasian,0,0,0,2,Unknown
181,0,Male,34,25 - 45,African-American,0,0,0,0,Unknown
182,0,Male,39,25 - 45,African-American,0,0,0,1,Unknown
185,1,Male,29,25 - 45,African-American,0,0,0,5,Middle
189,0,Male,27,25 - 45,Caucasian,0,0,1,1,High
191,0,Male,27,25 - 45,Caucasian,0,0,1,1,High
192,0,Male,27,25 - 45,Caucasian,0,0,1,1,High
193,0,Male,41,25 - 45,African-American,0,0,0,0,Unknown
195,0,Male,40,25 - 45,African-American,0,0,0,2,Unknown
197,0,Male,51,Greater than 45,African-American,0,0,0,1,Unknown
199,0,Male,22,Less than 25,African-American,0,0,0,1,Middle
201,0,Male,22,Less than 25,Caucasian,0,0,0,0,Unknown
205,0,Male,22,Less than 25,Caucasian,0,0,0,0,Unknown
206,0,Female,26,25 - 45,African-American,0,0,0,1,Middle
207,0,Male,27,25 - 45,Caucasian,0,0,0,1,Middle
208,0,Female,59,Greater than 45,African-American,0,0,0,2,Unknown
211,0,Male,41,25 - 45,African-American,0,0,0,1,Unknown
215,1,Male,30,25 - 45,African-American,0,0,0,8,Middle
217,0,Male,52,Greater than 45,African-American,0,0,0,3,Unknown
218,0,Male,36,25 - 45,African-American,0,0,0,0,Unknown
219,0,Male,22,Less than 25,Caucasian,0,0,0,3,Unknown
221,0,Male,50,Greater than 45,Other,0,0,0,0,Middle
223,1,Male,25,25 - 45,African-American,1,6,1,14,Middle
225,1,Male,25,25 - 45,African-American,1,6,1,14,Middle
227,0,Female,44,25 - 45,Caucasian,0,0,0,0,Unknown
231,0,Male,22,Less than 25,African-American,1,0,0,2,Middle
232,0,Male,23,Less than 25,African-American,0,0,1,2,Middle
233,0,Male,23,Less than 25,African-American,0,0,1,2,Middle
234,1,Male,54,Greater than 45,African-American,0,0,0,6,Unknown
237,0,Male,40,25 - 45,Caucasian,0,0,0,4,Unknown
241,1,Male,36,25 - 45,African-American,0,0,0,9,Middle
243,1,Male,26,25 - 45,Caucasian,0,0,0,7,Middle
244,1,Male,26,25 - 45,Caucasian,0,0,0,7,Middle
245,1,Male,26,25 - 45,Caucasian,0,0,0,7,Middle
247,0,Male,21,Less than 25,Other,0,0,0,1,Middle
249,0,Male,21,Less than 25,Other,0,0,0,1,Middle
251,0,Female,28,25 - 45,African-American,0,0,0,0,Unknown
253,1,Male,25,25 - 45,Caucasian,0,0,0,9,Middle
257,0,Female,20,Less than 25,Caucasian,0,0,0,0,Unknown
258,0,Male,39,25 - 45,Caucasian,0,0,0,2,High
259,0,Male,39,25 - 45,Caucasian,0,0,0,2,High
260,0,Male,39,25 - 45,Caucasian,0,0,0,2,High
263,0,Male,39,25 - 45,Caucasian,0,0,0,2,High
267,0,Female,54,Greater than 45,Caucasian,0,0,0,0,Unknown
269,0,Female,44,25 - 45,Hispanic,0,0,0,0,Unknown
270,0,Male,19,Less than 25,African-American,0,0,0,1,Middle
271,0,Male,24,Less than 25,African-American,0,0,0,1,Unknown
273,0,Male,30,25 - 45,African-American,0,0,0,1,Unknown
275,1,Female,32,25 - 45,African-American,0,0,0,8,Unknown
277,1,Male,24,Less than 25,Caucasian,0,1,2,8,High
279,1,Male,24,Less than 25,Caucasian,0,1,2,8,High
283,0,Male,30,25 - 45,Caucasian,0,0,0,0,Unknown
284,0,Male,31,25 - 45,Caucasian,0,0,0,0,Unknown
285,0,Female,39,25 - 45,Caucasian,0,0,0,1,Unknown
286,0,Female,39,25 - 45,Caucasian,0,0,0,1,Unknown
289,0,Female,39,25 - 45,Caucasian,0,0,0,1,Unknown
293,0,Female,24,Less than 25,Other,0,0,0,0,Unknown
295,0,Male,21,Less than 25,African-American,1,0,1,2,Unknown
296,0,Male,21,Less than 25,African-American,1,0,1,2,Unknown
297,0,Male,21,Less than 25,African-American,1,0,1,2,Unknown
299,0,Male,21,Less than 25,African-American,1,0,1,2,Unknown
301,0,Female,21,Less than 25,African-American,0,0,0,0,Unknown
303,0,Male,21,Less than 25,African-American,0,0,0,3,Middle
305,0,Male,21,Less than 25,African-American,0,0,0,3,Middle
309,0,Male,20,Less than 25,African-American,0,0,0,0,Unknown
310,0,Male,20,Less than 25,African-American,0,0,0,0,Unknown
311,0,Male,20,Less than 25,African-American,0,0,0,0,Unknown
312,0,Male,20,Less than 25,African-American,0,0,0,0,Unknown
315,0,Male,38,25 - 45,Caucasian,0,0,0,5,High
319,0,Male,34,25 - 45,Caucasian,0,0,0,0,Unknown
321,1,Male,33,25 - 45,African-American,0,0,0,5,Middle
322,0,Male,37,25 - 45,African-American,0,0,0,3,Unknown
323,0,Male,37,25 - 45,African-American,0,0,0,3,Unknown
325,0,Male,42,25 - 45,Caucasian,0,0,0,1,High
327,1,Male,41,25 - 45,African-American,0,1,0,10,Middle
329,0,Male,22,Less than 25,African-American,0,0,0,0,High
331,1,Male,33,25 - 45,African-American,0,12,2,28,Middle
335,0,Male,31,25 - 45,African-American,0,0,0,1,Unknown
336,1,Male,26,25 - 45,African-American,0,0,0,9,Unknown
337,1,Male,26,25 - 45,African-American,0,0,0,9,Unknown
338,0,Female,30,25 - 45,Other,0,0,0,1,Unknown
341,1,Male,31,25 - 45,Caucasian,0,0,0,13,High
345,0,Male,47,Greater than 45,Hispanic,0,0,0,2,Unknown
347,1,Male,56,Greater than 45,African-American,0,0,0,8,Unknown
348,0,Male,33,25 - 45,Asian,0,0,0,2,Unknown
349,0,Male,33,25 - 45,Asian,0,0,0,2,Unknown
351,0,Male,52,Greater than 45,Caucasian,0,0,0,3,Unknown
353,1,Male,33,25 - 45,African-American,0,0,0,19,Middle
355,0,Female,64,Greater than 45,Caucasian,0,0,0,2,Unknown
357,0,Male,22,Less than 25,Caucasian,0,0,0,4,Middle
361,0,Female,25,25 - 45,Caucasian,0,0,0,2,Unknown
362,0,Female,25,25 - 45,Caucasian,0,0,0,2,Unknown
363,0,Male,27,25 - 45,Caucasian,0,0,0,0,Unknown
364,0,Male,30,25 - 45,Caucasian,0,0,0,1,Unknown
367,0,Female,37,25 - 45,Other,0,0,0,2,Unknown
371,0,Male,28,25 - 45,Caucasian,0,0,0,0,Middle
373,1,Male,37,25 - 45,African-American,0,0,0,13,Unknown
374,1,Male,37,25 - 45,African-American,0,0,0,13,Unknown
375,0,Male,22,Less than 25,African-American,0,0,0,0,Unknown
377,1,Female,29,25 - 45,Caucasian,0,1,0,10,High
379,1,Female,29,25 - 45,Caucasian,0,1,0,10,High
381,0,Female,25,25 - 45,Caucasian,0,0,0,0,Unknown
383,0,Male,44,25 - 45,Caucasian,0,0,0,2,Middle
387,0,Male,32,25 - 45,African-American,0,0,0,3,High
388,0,Male,53,Greater than 45,Hispanic,0,0,0,1,Unknown
389,0,Male,34,25 - 45,Other,0,0,0,1,Unknown
390,0,Male,31,25 - 45,Caucasian,0,0,0,2,Middle
393,0,Male,31,25 - 45,African-American,0,0,0,1,Middle
397,1,Male,28,25 - 45,African-American,0,0,0,15,Unknown
399,0,Male,23,Less than 25,Caucasian,0,0,0,0,Unknown
400,0,Female,20,Less than 25,African-American,1,0,0,1,Unknown
401,0,Female,20,Less than 25,African-American,1,0,0,1,Unknown
403,0,Male,42,25 - 45,African-American,0,0,0,2,Unknown
405,1,Male,38,25 - 45,African-American,1,1,0,9,Middle
407,1,Male,38,25 - 45,African-American,1,1,0,9,Middle
409,1,Male,38,25 - 45,African-American,1,1,0,9,Middle
413,0,Male,55,Greater than 45,African-American,0,0,0,4,Unknown
414,0,Male,55,Greater than 45,African-American,0,0,0,4,Unknown
415,0,Male,55,Greater than 45,African-American,0,0,0,4,Unknown
416,0,Female,31,25 - 45,African-American,0,0,0,0,Middle
419,1,Female,33,25 - 45,African-American,0,0,0,7,Middle
423,0,Male,27,25 - 45,African-American,0,0,0,2,Middle
425,0,Male,27,25 - 45,African-American,0,0,0,2,Middle
426,0,Male,52,Greater than 45,African-American,0,0,0,0,Unknown
427,0,Female,20,Less than 25,African-American,0,0,0,0,Unknown
429,0,Male,25,25 - 45,African-American,0,0,0,4,Unknown
431,1,Male,52,Greater than 45,Other,0,0,0,13,Middle
433,1,Male,52,Greater than 45,Other,0,0,0,13,Middle
435,1,Male,52,Greater than 45,Other,0,0,0,13,Middle
439,1,Male,52,Greater than 45,Other,0,0,0,13,Middle
440,1,Male,52,Greater than 45,Other,0,0,0,13,Middle
441,1,Male,52,Greater than 45,Other,0,0,0,13,Middle
442,0,Male,63,Greater than 45,Hispanic,0,0,0,1,Unknown
445,0,Male,29,25 - 45,Hispanic,0,0,0,1,Unknown
449,0,Male,39,25 - 45,Caucasian,1,0,0,1,Unknown
451,0,Female,30,25 - 45,Caucasian,0,0,0,3,High
452,0,Female,30,25 - 45,Caucasian,0,0,0,3,High
453,0,Male,30,25 - 45,African-American,0,0,0,1,Unknown
455,0,Male,48,Greater than 45,Caucasian,0,0,0,2,Unknown
457,0,Male,22,Less than 25,African-American,0,0,0,1,Unknown
459,1,Male,46,Greater than 45,Caucasian,0,0,0,6,Middle
461,0,Male,41,25 - 45,Caucasian,0,0,0,5,Unknown
465,0,Male,31,25 - 45,African-American,0,0,0,0,Unknown
466,0,Male,25,25 - 45,African-American,0,0,0,1,Middle
467,0,Male,25,25 - 45,African-American,0,0,0,1,Middle
468,0,Male,31,25 - 45,African-American,0,0,0,3,Unknown
471,1,Female,32,25 - 45,African-American,0,0,0,5,Unknown
475,0,Male,30,25 - 45,African-American,0,0,0,2,Unknown
477,1,Female,37,25 - 45,Caucasian,0,0,0,6,Unknown
478,1,Female,37,25 - 45,Caucasian,0,0,0,6,Unknown
479,0,Male,55,Greater than 45,Caucasian,0,0,0,1,Unknown
481,1,Male,31,25 - 45,Hispanic,0,0,0,8,Middle
483,1,Male,28,25 - 45,African-American,0,0,0,6,Middle
485,0,Male,58,Greater than 45,Hispanic,0,0,0,0,Unknown
487,0,Male,78,Greater than 45,Caucasian,0,0,0,1,High
491,1,Male,38,25 - 45,African-American,2,2,1,22,Middle
492,1,Male,38,25 - 45,African-American,2,2,1,22,Middle
493,1,Male,38,25 - 45,African-American,2,2,1,22,Middle
494,0,Male,39,25 - 45,African-American,0,0,0,3,Unknown
497,0,Male,21,Less than 25,Hispanic,0,0,0,0,Unknown
501,1,Male,47,Greater than 45,African-American,0,0,0,23,High
503,1,Male,47,Greater than 45,African-American,0,0,0,23,High
504,1,Male,47,Greater than 45,African-American,0,0,0,23,High
505,0,Male,23,Less than 25,African-American,0,0,0,0,Middle
507,0,Male,57,Greater than 45,Hispanic,0,0,0,1,Unknown
509,0,Female,38,25 - 45,Caucasian,0,0,0,2,Middle
511,0,Female,38,25 - 45,Caucasian,0,0,0,2,Middle
513,0,Male,66,Greater than 45,African-American,0,0,0,3,Middle
517,0,Male,45,Greater than 45,Other,0,0,0,2,Unknown
518,0,Female,52,Greater than 45,Other,0,0,0,0,Middle
519,1,Male,32,25 - 45,African-American,0,0,0,13,High
520,1,Male,32,25 - 45,African-American,0,0,0,13,High
523,0,Male,39,25 - 45,Caucasian,0,0,0,0,Middle
527,0,Male,45,Greater than 45,Caucasian,0,0,0,2,Unknown
529,1,Female,57,Greater than 45,Caucasian,0,0,0,7,Unknown
530,0,Male,23,Less than 25,African-American,0,0,0,0,High
531,0,Male,34,25 - 45,African-American,0,0,0,2,High
533,1,Male,38,25 - 45,African-American,0,0,0,14,Unknown
535,1,Male,38,25 - 45,African-American,0,0,0,14,Unknown
537,0,Female,36,25 - 45,African-American,0,0,0,0,Unknown
539,0,Male,36,25 - 45,Other,0,0,0,2,High
543,0,Female,37,25 - 45,Caucasian,0,0,0,0,Unknown
544,0,Male,44,25 - 45,Caucasian,0,0,0,4,Unknown
545,1,Female,35,25 - 45,African-American,0,1,0,23,High
546,0,Male,31,25 - 45,Caucasian,0,0,0,1,Unknown
549,0,Male,40,25 - 45,Asian,0,0,0,3,Unknown
553,0,Male,26,25 - 45,African-American,0,0,0,2,High
555,0,Male,37,25 - 45,Other,0,0,0,1,Unknown
556,0,Male,27,25 - 45,African-American,0,0,0,0,Unknown
557,0,Female,31,25 - 45,Caucasian,0,0,0,1,Unknown
559,1,Male,43,25 - 45,Caucasian,0,0,0,11,Middle
561,1,Female,28,25 - 45,Caucasian,0,0,0,7,High
563,1,Female,28,25 - 45,Caucasian,0,0,0,7,High
565,0,Male,38,25 - 45,African-American,0,0,0,0,Unknown
569,0,Female,28,25 - 45,African-American,0,0,0,1,Unknown
570,0,Female,28,25 - 45,African-American,0,0,0,1,Unknown
571,0,Male,21,Less than 25,African-American,1,0,0,1,Unknown
572,0,Male,21,Less than 25,African-American,1,0,0,1,Unknown
575,1,Male,38,25 - 45,African-American,0,0,0,15,Unknown
579,0,Male,28,25 - 45,Hispanic,0,0,0,0,Unknown
581,0,Male,61,Greater than 45,Caucasian,0,0,0,1,Unknown
582,0,Female,51,Greater than 45,Caucasian,0,0,0,0,Middle
583,0,Male,51,Greater than 45,Caucasian,0,0,0,0,Unknown
585,0,Male,36,25 - 45,Other,0,0,0,1,Middle
587,0,Male,36,25 - 45,Other,0,0,0,1,Middle
589,0,Male,37,25 - 45,Caucasian,0,0,0,4,Middle
591,0,Male,37,25 - 45,Caucasian,0,0,0,4,Middle
595,0,Male,37,25 - 45,African-American,0,0,0,0,Middle
596,0,Male,33,25 - 45,Other,0,0,0,4,Middle
597,1,Male,54,Greater than 45,African-American,0,0,0,11,Unknown
598,0,Male,23,Less than 25,African-American,0,0,0,2,Unknown
601,0,Male,68,Greater than 45,Caucasian,0,0,0,0,Unknown
605,0,Female,32,25 - 45,African-American,0,0,0,0,Unknown
607,0,Male,52,Greater than 45,Caucasian,0,0,0,0,Unknown
608,0,Male,23,Less than 25,African-American,0,0,0,0,Unknown
609,1,Male,43,25 - 45,Caucasian,0,0,0,13,High
611,0,Male,52,Greater than 45,African-American,0,0,0,0,Unknown
613,1,Male,30,25 - 45,African-American,0,0,2,11,Middle
615,0,Male,28,25 - 45,Caucasian,0,0,0,1,Unknown
617,0,Female,34,25 - 45,African-American,0,0,0,0,Unknown
621,0,Male,31,25 - 45,Caucasian,0,0,0,0,High
622,0,Male,31,25 - 45,Caucasian,0,0,0,0,High
623,0,Male,37,25 - 45,Caucasian,0,0,0,0,Middle
624,0,Male,37,25 - 45,Caucasian,0,0,0,0,Middle
627,1,Male,26,25 - 45,African-American,0,1,0,4,Unknown
631,1,Male,28,25 - 45,African-American,0,0,0,25,High
633,1,Male,28,25 - 45,African-American,0,0,0,25,High
634,1,Male,28,25 - 45,African-American,0,0,0,25,High
635,1,Male,44,25 - 45,Caucasian,0,0,0,8,Middle
637,1,Male,44,25 - 45,Caucasian,0,0,0,8,Middle
639,0,Male,25,25 - 45,African-American,0,0,0,0,Unknown
641,0,Male,22,Less than 25,Caucasian,0,0,1,1,High
643,0,Female,30,25 - 45,African-American,1,0,0,2,Unknown
647,0,Female,47,Greater than 45,Caucasian,0,0,0,2,Unknown
648,0,Female,40,25 - 45,Other,0,0,0,3,Unknown
649,0,Male,24,Less than 25,Other,0,0,0,0,Unknown
650,1,Male,36,25 - 45,Caucasian,0,0,0,8,Middle
653,0,Male,22,Less than 25,African-American,0,0,0,3,Middle
657,0,Female,31,25 - 45,Hispanic,0,0,0,0,Unknown
659,0,Male,23,Less than 25,Hispanic,0,0,1,1,High
660,0,Male,23,Less than 25,Hispanic,0,0,1,1,High
661,1,Female,23,Less than 25,Caucasian,0,0,4,5,Middle
663,0,Male,24,Less than 25,Hispanic,0,0,0,0,Unknown
665,0,Male,20,Less than 25,African-American,0,0,0,1,High
667,0,Male,30,25 - 45,African-American,0,0,0,2,High
669,0,Male,39,25 - 45,Caucasian,0,0,0,1,Unknown
673,0,Male,27,25 - 45,African-American,0,0,0,4,Unknown
674,0,Male,27,25 - 45,African-American,0,0,0,4,Unknown
675,0,Male,18,Less than 25,African-American,2,0,0,2,Unknown
676,0,Male,18,Less than 25,African-American,2,0,0,2,Unknown
679,0,Male,31,25 - 45,Caucasian,0,0,0,2,High
683,0,Male,27,25 - 45,African-American,0,0,0,2,Unknown
685,1,Male,46,Greater than 45,African-American,1,0,0,5,Unknown
686,0,Male,22,Less than 25,Hispanic,0,0,1,0,Unknown
687,0,Male,22,Less than 25,Hispanic,0,0,1,0,Unknown
689,0,Female,23,Less than 25,African-American,0,0,0,0,Middle
691,0,Male,20,Less than 25,African-American,1,0,0,1,Unknown
693,1,Male,66,Greater than 45,African-American,0,0,0,8,Middle
695,0,Male,25,25 - 45,Caucasian,0,0,0,0,Unknown
699,1,Male,22,Less than 25,African-American,0,1,1,3,Middle
700,1,Male,22,Less than 25,African-American,0,1,1,3,Middle
701,1,Male,22,Less than 25,African-American,0,1,1,3,Middle
702,1,Male,22,Less than 25,African-American,0,1,1,3,Middle
705,1,Male,22,Less than 25,African-American,0,1,1,3,Middle
709,0,Female,41,25 - 45,African-American,0,0,0,2,Unknown
711,0,Male,43,25 - 45,African-American,0,0,0,0,Unknown
712,0,Female,25,25 - 45,Other,0,0,0,0,Unknown
713,1,Male,44,25 - 45,African-American,0,0,0,24,Unknown
715,0,Male,52,Greater than 45,African-American,0,0,0,3,High
717,0,Male,43,25 - 45,African-American,0,0,0,0,Unknown
719,0,Female,24,Less than 25,Caucasian,0,0,0,0,Unknown
721,0,Female,45,Greater than 45,Caucasian,0,0,0,3,Unknown
725,0,Male,70,Greater than 45,Caucasian,0,0,0,1,Unknown
726,1,Male,54,Greater than 45,Caucasian,0,0,0,6,High
727,1,Male,54,Greater than 45,Caucasian,0,0,0,6,High
728,1,Male,58,Greater than 45,Caucasian,0,0,0,9,Unknown
731,0,Male,21,Less than 25,African-American,0,0,0,0,Middle
735,0,Male,34,25 - 45,Caucasian,0,0,0,5,Unknown
737,0,Female,34,25 - 45,Caucasian,0,0,0,0,Unknown
738,0,Male,19,Less than 25,African-American,0,0,0,1,Middle
739,0,Male,19,Less than 25,African-American,0,0,0,1,Middle
741,0,Female,32,25 - 45,African-American,0,0,0,3,Unknown
743,1,Male,34,25 - 45,African-American,0,0,0,5,Middle
745,1,Male,34,25 - 45,African-American,0,0,0,5,Middle
747,1,Male,34,25 - 45,African-American,0,0,0,5,Middle
751,1,Male,39,25 - 45,African-American,0,0,0,6,Middle
752,1,Male,39,25 - 45,African-American,0,0,0,6,Middle
753,1,Male,39,25 - 45,African-American,0,0,0,6,Middle
754,0,Male,24,Less than 25,Other,0,0,0,0,Unknown
757,1,Male,40,25 - 45,Caucasian,0,0,0,6,Unknown
761,1,Male,56,Greater than 45,African-American,0,0,0,13,Unknown
763,0,Male,21,Less than 25,African-American,0,0,0,1,High
764,0,Male,21,Less than 25,African-American,0,0,0,1,High
765,1,Male,23,Less than 25,African-American,0,0,1,4,Middle
767,1,Male,23,Less than 25,African-American,0,0,1,4,Middle
769,0,Male,62,Greater than 45,Caucasian,0,0,0,0,Unknown
771,0,Male,62,Greater than 45,Caucasian,0,0,0,0,Unknown
773,1,Male,27,25 - 45,African-American,1,0,1,4,High
777,1,Male,57,Greater than 45,Other,0,0,0,6,Unknown
778,0,Male,37,25 - 45,Caucasian,0,0,0,5,Unknown
779,0,Male,43,25 - 45,Other,0,0,0,2,High
780,0,Male,22,Less than 25,Caucasian,0,0,0,0,Unknown
783,0,Female,33,25 - 45,African-American,0,0,0,2,Unknown
787,0,Male,44,25 - 45,Caucasian,0,0,0,0,High
789,0,Male,28,25 - 45,Caucasian,0,0,0,3,Middle
790,0,Male,28,25 - 45,Caucasian,0,0,0,3,Middle
791,0,Female,42,25 - 45,Caucasian,0,0,0,0,Unknown
793,1,Male,48,Greater than 45,African-American,0,0,0,5,Unknown
795,1,Male,24,Less than 25,Other,0,1,0,9,Middle
797,0,Male,20,Less than 25,African-American,0,0,0,0,Middle
799,0,Male,20,Less than 25,African-American,0,0,0,0,Middle
803,0,Male,24,Less than 25,African-American,0,0,0,1,Unknown
804,1,Male,31,25 - 45,Caucasian,2,0,0,6,Unknown
805,0,Male,22,Less than 25,African-American,0,1,0,2,Unknown
806,0,Male,22,Less than 25,African-American,0,1,0,2,Unknown
809,0,Male,20,Less than 25,Caucasian,0,0,0,0,Unknown
813,0,Male,42,25 - 45,Caucasian,0,0,0,0,Unknown
815,0,Male,20,Less than 25,African-American,0,0,0,0,Middle
816,0,Male,20,Less than 25,African-American,0,0,0,0,Middle
817,0,Male,20,Less than 25,African-American,0,0,0,0,Middle
819,1,Male,48,Greater than 45,African-American,0,0,0,8,Unknown
821,0,Male,24,Less than 25,Other,0,0,0,0,Unknown
823,1,Male,27,25 - 45,Caucasian,0,0,0,8,Unknown
825,0,Male,24,Less than 25,African-American,0,1,0,2,Middle
829,1,Male,53,Greater than 45,Caucasian,0,0,0,36,Middle
830,1,Male,53,Greater than 45,Caucasian,0,0,0,36,Middle
831,1,Male,53,Greater than 45,Caucasian,0,0,0,36,Middle
832,1,Male,53,Greater than 45,Caucasian,0,0,0,36,Middle
835,0,Male,28,25 - 45,Caucasian,0,0,0,2,Middle
839,0,Male,45,Greater than 45,African-American,0,0,0,1,Unknown
841,0,Male,21,Less than 25,Hispanic,0,1,0,3,Middle
842,0,Female,36,25 - 45,African-American,0,0,0,0,Unknown
843,0,Female,25,25 - 45,Caucasian,0,0,0,2,High
845,0,Female,25,25 - 45,Caucasian,0,0,0,2,High
847,0,Female,23,Less than 25,Hispanic,0,0,0,1,Middle
849,0,Male,54,Greater than 45,Hispanic,0,0,0,2,Unknown
851,0,Male,28,25 - 45,Caucasian,0,0,0,1,Unknown
855,0,Female,21,Less than 25,African-American,0,0,0,0,Middle
856,0,Female,21,Less than 25,African-American,0,0,0,0,Middle
857,0,Male,36,25 - 45,Caucasian,0,0,0,0,Unknown
858,0,Male,24,Less than 25,African-American,0,0,0,0,Unknown
861,0,Male,30,25 - 45,Other,0,0,0,1,Middle
865,1,Male,31,25 - 45,African-American,0,0,0,8,Unknown
867,0,Male,38,25 - 45,African-American,0,0,0,2,Unknown
